EART,SCC,PSCC,MoScc200,Mast,MastEvs,MasTrtLif,DMAST,LastCul,LACT,MILK,Repro,DCC,DIM,TDAT
5528,33,31,,Uninfected,0,,,Gram Positive,4,109,Preg,143,318,11/4/2024
5957,33,81,1,New Infection,0,,,,1,77,Bred,,78,11/4/2024
5977,33,13,,Uninfected,0,,,,1,94,Preg,52,148,11/4/2024
5984,33,,,Uninfected,0,,,,1,73,Fresh,,45,11/4/2024
5422,31,13,,Uninfected,0,,,No Growth,5,63,Preg,206,302,11/4/2024
5474,31,,,Uninfected,0,,,E. coli,4,63,Fresh,,32,11/4/2024
5513,31,18,,Uninfected,0,,,,4,67,Dry,248,322,11/4/2024
5688,31,19,,Uninfected,0,,,E. coli,2,60,Dry,248,315,9/30/2024
5718,31,13,,Uninfected,1,,5/2/2024,E. coli,2,45,Dry,241,279,11/4/2024
5846,31,162,,Uninfected,0,,,,2,123,Bred,,69,11/4/2024
5943,31,71,,Uninfected,0,,,,1,80,Preg,87,151,11/4/2024
6006,31,,,Uninfected,0,,,,1,70,Fresh,,39,11/4/2024
6008,31,,,Uninfected,0,,,,1,51,Fresh,,32,11/4/2024
5411,29,20,1,New Infection,0,,,No Growth,5,112,Preg,73,261,11/4/2024
5457,29,33,,Uninfected,0,,,,4,113,Preg,66,319,11/4/2024
5468,29,19,,Uninfected,0,,,,4,73,Dry,264,367,9/30/2024
5620,29,13,,Uninfected,0,,,,3,73,Dry,269,278,9/30/2024
5076,27,13,,Uninfected,0,,,,7,80,Preg,80,354,11/4/2024
5740,27,132,1,New Infection,2,,7/2/2024,No Growth,2,72,Dry,254,305,9/30/2024
5862,27,13,,Uninfected,0,,,,1,73,Dry,255,283,9/30/2024
5961,27,54,,Uninfected,0,,,,1,85,Bred,,79,11/4/2024
5507,25,,,Uninfected,0,,,E. coli,5,134,Fresh,,53,11/4/2024
5613,25,13,,Uninfected,0,,,,3,79,Dry,262,284,9/30/2024
5734,25,13,,Uninfected,0,,,No Growth,2,78,Dry,227,288,11/4/2024
5994,25,,,Uninfected,0,,,,1,92,Fresh,,59,11/4/2024
5604,23,71,,Uninfected,1,1,8/12/2024,No Growth,4,105,Preg,52,114,11/4/2024
5660,23,18,,Uninfected,0,,,Staph species,2,78,Dry,262,289,9/30/2024
5753,23,14,,Uninfected,0,,,,2,100,Preg,52,148,11/4/2024
5817,23,19,,Uninfected,0,,,,1,93,Preg,213,350,11/4/2024
5833,23,,,Uninfected,1,1,11/15/2024,E. coli,2,72,Fresh,,36,11/4/2024
5849,23,,,Uninfected,0,,,,2,71,Fresh,,36,11/4/2024
5876,23,19,,Uninfected,0,,,No Growth,1,78,Dry,241,285,11/4/2024
5923,23,14,,Uninfected,0,,,,1,80,Preg,171,234,11/4/2024
5971,23,31,,Uninfected,1,,7/12/2024,Staph species,1,75,Preg,80,154,11/4/2024
11649,23,,,Uninfected,0,,,,5,115,Fresh,,56,11/4/2024
5312,22,13,,Uninfected,0,,,No Growth,5,80,Dry,227,323,11/4/2024
5554,22,14,,Uninfected,0,,,No Growth,4,127,Preg,45,140,11/4/2024
5805,22,71,,Uninfected,0,,,,2,101,Bred,,95,11/4/2024
5396,20,13,,Uninfected,0,,,,5,107,Preg,185,246,11/4/2024
5434,20,,,Uninfected,0,,,No Growth,5,134,Fresh,,49,11/4/2024
5648,20,13,,Uninfected,0,,,Gram Positive,3,139,Bred,,90,11/4/2024
5684,20,31,,Uninfected,2,,12/1/2024,No Growth,3,116,Preg,38,104,11/4/2024
5731,20,13,,Uninfected,0,,,Enterobacteria,2,103,DNB,,292,11/4/2024
5786,20,13,,Uninfected,0,,,,2,90,Bred,,206,11/4/2024
5929,20,115,,Uninfected,0,,,No Growth,1,76,Bred,,182,11/4/2024
5960,20,38,,Uninfected,0,,,,1,72,Preg,87,152,11/4/2024
5976,20,,,Uninfected,0,,,,1,88,Fresh,,47,11/4/2024
20022,20,18,,Uninfected,0,,,,2,102,Bred,,169,11/4/2024
5496,19,13,,Uninfected,0,,,Strep. dysgalactiae,4,83,DNB,,331,11/4/2024
5692,19,,,Uninfected,0,,,,3,88,Fresh,,51,11/4/2024
5752,19,18,,Uninfected,0,,,,2,103,Preg,101,166,11/4/2024
5837,19,13,,Uninfected,0,,,,2,111,Preg,52,112,11/4/2024
5848,19,,,Uninfected,0,,,,2,110,Fresh,,58,11/4/2024
5930,19,29,,Uninfected,0,,,,1,76,Preg,151,236,11/4/2024
5364,18,13,,Uninfected,0,,,,5,116,DNB,,285,11/4/2024
